Version,game_id,score,max_tile,steps,duration_sec
v3,102,28648,1024,1389,339.54071068763733
v3,103,28200,1024,1331,321.0768165588379
v3,104,30200,1024,1404,339.9713680744171
v3,105,16144,512,891,196.7569773197174
v3,106,6332,256,424,106.47878360748292
v3,107,13024,512,740,190.13241147994995
v3,108,38716,2048,1764,416.9645547866821
v3,109,8308,256,519,128.74545574188232
v3,110,19112,512,1006,241.4416193962097
v3,111,25196,1024,1206,310.2243866920471
v3,112,11988,512,660,137.93949031829834
v3,113,35228,1024,1671,401.2520205974579
v3,114,7476,256,479,126.23720908164978
v3,115,26324,1024,1261,274.60461473464966
v3,116,12244,512,672,169.91369795799255
v3,117,12488,512,707,177.74522495269775
v3,118,6400,256,399,105.5501298904419
v3,119,15124,512,813,206.92778325080872
v3,120,8460,256,540,128.9028778076172
v3,121,33448,2048,1476,360.6217484474182
v3,122,27116,1024,1309,317.76933002471924
v3,123,12880,512,713,155.1533327102661
v3,124,16428,512,876,210.43461108207703
v3,125,34616,2048,1526,404.8968603610992
v3,126,3676,128,291,67.44438910484314
v3,127,8816,256,545,130.65511393547058
v3,128,8960,256,546,140.00587677955627
v3,129,15956,512,864,219.7182023525238
v3,130,54628,2048,2304,550.9613981246948
v3,131,55956,2048,2370,608.9021739959717
v3,12,17756,512,959,178.4270350933075
v3,13,13160,512,745,158.11414861679077
v3,14,27100,1024,1310,337.7175545692444
v3,15,8340,256,527,137.51450276374817
v3,16,10060,512,566,147.97636127471924
v3,17,16232,512,867,187.51065135002136
v3,18,27772,1024,1356,327.76932740211487
v3,19,1256,32,147,32.439507484436035
v3,20,7572,256,481,124.57682776451112
v3,21,14364,512,794,187.401522397995
v3,22,17948,1024,924,234.17369151115415
v3,23,7088,256,449,106.748610496521
v3,24,12304,512,684,156.01622343063354
v3,25,23220,1024,1125,280.14547419548035
v3,26,5980,256,373,96.46783351898192
v3,27,7028,256,464,116.22214818000792
v3,28,10200,256,627,146.1812927722931
v3,29,17484,512,936,216.2490670681
v3,30,8872,256,552,126.03087711334229
v3,31,29856,1024,1471,349.01917719841003
v3,32,28012,1024,1386,326.643141746521
v3,33,29500,1024,1350,298.5905077457428
v3,34,6668,256,446,95.16579508781432
v3,35,9100,256,567,139.3245120048523
v3,36,27512,1024,1319,312.5588026046753
v3,37,4736,256,312,76.91723942756653
v3,38,44204,2048,1835,416.2804706096649
v3,39,11392,512,637,161.8282208442688
v3,40,16024,512,856,210.20666217803955
v3,41,4724,128,337,75.31948184967041
v3,132,36700,2048,1636,84.0713300704956
v3,133,6832,256,429,21.96987509727478
v3,134,8940,256,550,28.032849550247192
v3,135,8812,256,549,26.33346939086914
v3,136,30616,1024,1414,78.35638976097107
v3,137,7984,256,512,31.87144422531128
v3,138,4536,128,329,17.060906410217285
v3,139,4108,128,314,17.377484798431396
v3,140,24540,1024,1160,67.09891939163208
v3,141,23364,1024,1121,59.46540069580078
v3,142,18624,1024,954,45.529659032821655
v3,143,16060,512,851,49.80439376831055
v3,144,10852,256,679,1306.041228055954
v3,145,36732,2048,1628,1389.1847739219666
v3,146,7564,256,483,22.973448276519772
v3,147,19184,1024,983,50.80896186828613
v3,148,26940,1024,1311,66.8932192325592
v3,149,15028,512,813,37.55395340919495
v3,150,14036,512,797,36.51920008659363
v3,151,13464,512,749,35.32594394683838
v3,152,16284,512,876,40.36068391799927
v3,153,4140,128,309,17.869663953781128
v3,154,65800,4096,2664,149.31524276733398
v3,155,8088,256,509,25.146716594696045
v3,156,21040,1024,996,57.81737327575684
v3,157,36728,2048,1619,91.4905321598053
v3,158,8716,256,564,27.48873519897461
v3,159,14444,512,777,42.00320553779602
v3,160,62832,4096,2445,117.79210424423218
v3,161,8104,256,487,30.268909454345703
v3,162,12304,512,688,70.47380518913269
v3,163,14996,512,810,88.00466823577881
v3,164,18136,1024,940,110.46402311325072
v3,165,7384,256,474,47.55514073371887
v3,166,6388,128,461,50.18182992935181
v3,167,27400,1024,1336,143.41332578659058
v3,168,28596,1024,1419,134.17081236839294
v3,169,7480,256,476,50.61800527572632
v3,170,17912,1024,927,95.63251781463624
v3,171,14424,512,786,78.36067843437195
v3,172,25892,1024,1226,118.11344075202942
v3,173,32172,1024,1515,149.9022204875946
v3,174,4308,128,327,33.86939859390259
v3,175,8704,256,540,53.79860186576843
v3,176,15624,512,840,86.82310557365417
v3,177,36104,2048,1584,128.77332258224487
v3,178,7548,256,484,44.19903063774109
